Passage,Statement,Type
"This phenomenon has been emphasised by the relocation of some industries, particularly those which are labour intensive, to reduce production costs, even though the production site is hundreds or even thousands of kilometres away from the final assembly plant or away from users.
The strong economic growth expected in countries which are candidates for entry to the EU will also increase transport flows, in particular road haulage traffic
However, the lack of measures available to revitalise other modes of transport would make it impossible for more sustainable modes of transport to take up the baton.
The second approach also concentrates on road transport pricing but is accompanied by measures to increase the efficiency of the other modes (better quality of services, logistics, technology). However, this approach does not include investment in new infrastructure, nor does it guarantee better regional cohesion
In the short term it might curb the growth in road transport through the better loading ratio of goods vehicles and occupancy rates of passenger vehicles expected as a result of the increase in the price of transport
It could help to achieve greater uncoupling than the first approach, but road transport would keep the lion‟s share of the market and continue to concentrate on saturated arteries, despite being the most polluting of the modes. It is therefore not enough to guarantee the necessary shift of the balance.
The third approach, which is not new, comprises a series of measures ranging from pricing to revitalising alternative modes of transport and targeting investment in the trans-European network
This integrated approach would allow the market shares of the other modes to return to their 1998 levels and thus make a shift of balance. It is far more ambitious than it looks, bearing in mind the historical imbalance in favour of roads for the last fifty years, but would achieve a marked break in the link between road transport growth and economic growth, without placing restrictions on the mobility of people and goods.","To reduce production costs, some industries have been moved closer to their relevant consumers.",2
"

As a whole, European countries see forests as performing a triple function: biological, economic and recreational. The first is to act as a 'green lung' for our planet; by means of photosynthesis, forests produce oxygen through the transformation of solar energy, thus fulfilling what for humans is the essential role of an immense, non-polluting power plant. At the same time, forests provide raw materials for human activities through their constantly renewed production of wood
Hence, there is a real concern throughout Europe about the damage to the forest environment which threatens these three basic roles.

The myth of the 'natural' forest has survived, yet there are effectively no remaining 'primary' forests in Europe. All European forests are artificial, having been adapted and exploited by man for thousands of years
Finally, they offer those condemned to spend five days a week in an urban environment an unrivalled area of freedom to unwind and take part in a range of leisure activities, such as hunting, riding and hiking. The economic importance of forests has been understood since the dawn of man - wood was the first fuel. The other aspects have been recognised only for a few centuries but they are becoming more and more important
This was the initial motivation, one now shared by all 31 participants representing 31 European countries. Their final text commits them to on-going discussion between government representatives with responsibility for forests.
However, their effects are probably accentuated by climatic factors, such as drought and hard winters, or soil imbalances such as soil acidification, which damages the roots. The second resolution concentrates on the need to preserve the genetic diversity of European forests. The aim is to reverse the decline in the number of tree species or at least to preserve the 'genetic material' of all of them",Forests are a renewable source of raw material.,1
"“My back hurt every morning, and during bad flare-ups it was so horrible I couldn't even walk,” he says.
But days after the the scorpion sting, the pain went away, and now, two years later, he remains essentially pain free and off most of his medications. As a doctor himself, Michael is cautious about overstating the role of the scorpion's venom in his remission
Occasionally victims die.
Luckily for Michael (who asked me not to give his Ml name), the bark scorpion is common in the area, and antivenom was readily available. He had an injection and was released a few hours later. In about 30 hours the pain was gone. What happened next could not have been predicted
For eight years Michael had endured a condition called ankylosing spondylitis, a chronic autoimmune disease of the skeleton, a sort of spinal arthritis. No one knows what triggers it. In the worst cases the spine may fuse, leaving the patient forever stooped and in anguish
Michael decided to go for a swim. He was on vacation with his family in Guerrero, Mexico, and it was hotter than blazes. He grabbed his swimming trunks from where they'd been drying on a chair, slid them on, and jumped into the pool. Instead of cool relief, a burning pain ripped through the back of his thigh
He scooped it into a Tupperware container, and the caretaker of the house rushed him to the local Red Cross facility, where doctors immediately identified his attacker: a bark scorpion, Centruroides sculpturatus, one of the most venomous species in North America. The fierce pain from a sting is typically followed by what feels like electric shocks racking the body",Michael is grateful for the bark scorpion bite because it helped him recover from the ankylosing spondylitis.,1
"Although these genetic changes are rare, they create entirely new strains of flu against which we have no protection. It has been suggested that this is what had happened immediately prior to the 1918 outbreak, with research indicating that a genetic shift had taken place in China.

In 2005, another genetic shift in an influenza A virus was recorded, giving rise to the H5N1 strain, otherwise known as avian flu, or bird flu
If that change does happen, scientists and doctors can reasonably expect a death rate comparable to that which occurred in 1918 and, given that we can now travel more quickly and more easily between countries, infecting many more people than was previously possible, it could be several times worse.
It is also estimated that one fifth of the population of the world may have been infected.

Through tests done on some of the survivors of the 1918 outbreak, it was discovered that, 90 years later, they still possessed the antibodies to that strain of flu, and some of them were actually still producing the antibodies
Work is now focused on why these people survived in the first place, with one theory being that they had actually been exposed to an earlier, similar strain, therefore developing immunity to the 1918 strain. It is hoped that, in the near future, we might be able to isolate the antibodies and use them to vaccinate people against further outbreaks.

Yet vaccination against the flu is an imprecise measure
What fascinates most researchers in the field is that the human body seems capable of storing these antibodies over a whole lifetime in case of future attack from the same or similar strains of flu. It was while researching these antibodies that scientists turned their attention back to what was possibly the worst ever flu pandemic in the world. The actual number of deaths is disputed, but the outbreak in 1918 killed between 20 and 50 million people",Another change in the genetic make-up of the H5N1 strain could kill more people than the 1918 epidemic.,1
"Dr Prue Chopra, a geophysicist at the Australian National University and one of the founders of Geoenergy, note that the steam will bring with it radon gas, along through a heat exchanger and then sent back underground for another cycle. Technically speaking, hot dry rocks are not a renewable source of energy
It is this reliance on proven engineering principles that led Enviropower’s CEO, Richard Davies, to state: There is no doubt this technology will work, none at all.’

This year, Enviropower recognized that the quality of sunlight in the Mildura district will require a substantially larger collecting area than was previously thought
An Australian firm, Geoenergy, is proposing to pump water 3.5 kilometres into the earth, where it will travel through tiny fissures in the granite, heating up as it goes until it escapes as steam through another drilled hole.

No greenhouse gases are produced, but the system needs some additional features if it is to be environmentally friendly
However, spokesperson kay Firth says that a new location closer to Mildura will enable Enviropower to balance the increased costs with extra revenue. Besides saving in transmission costs, the new site ‘will mean increased revenue from tourism and use of power for telecommunications
However, the Australian source is so large it could supply the entire country’s needs for thousands of years at current rates of consumption.

Two other proposals for very different ways to harness sun and wind energy have surfaced recently. Progress continues with Australian company EnviroPower’s plans for Australia’s first solar chimney near Mildura, in Victoria. Under this scheme, a tall tower will draw hot air from a greenhouse built to cover the surrounding 5 km²",Dr Prue Chopra has studied the effects of radon gas on the environment.,3
"People protest for their human rights of having a pure seaside and argue for health life in Bondi.

“They’re prepared to risk lives and risk the Bondi beach environment for the sake of eight days of volleyball”, said Stephen Uniacke, a construction lawyer involved in the campaign. Other environmental concerns include the possibility that soil dredged up from below the sand will acidify when brought to the surface.
Advertising at the time referred to Bondi Beach as the “Playground of the Pacific”.

There is a growing trend that people prefer having to relax near seaside instead of living unhealthily in cities. The increasing popularity of sea bathing during the late 1800s and early 1900s raised concerns about public safety and how to prevent people from drowning
Bondi Beach, Australia’s most famous beach, is located in the suburb of Bondi, in the Local Government Area of Waverley, seven kilometers from the centre of Sydney. “Bondi” or “Boondi” is an Aboriginal word meaning water breaking over rocks or the sound of breaking waves. The Australian Museum records that Bondi means a place where a flight of nullas took place
However, people still choose Bondi as the satisfied destination rather than Manly.

Bondi Beach has a commercial area along Campbell Parade and adjacent side streets, featuring many popular cafes, restaurants, and hotels, with views of the contemporary beach. It is depicted as wholly modern and European. In the last decade, Bondi Beaches’ unique position has seen a dramatic rise in svelte houses and apartments to take advantage of the views and scent of the sea
The Bondi Beach Volleyball Stadium was constructed for it and stood for just six weeks. Campaigners oppose both the social and environmental consequences of the development. The stadium will divide the beach in two and seriously restrict public access for swimming, walking, and other forms of outdoor recreation",Living near Bondi seashore is not beneficial for health.,2
"It can help regulate sleep cycles and contribute to a more restful night's sleep.

Enhanced Immune System: Regular moderate exercise has been associated with a stronger immune system, reducing the likelihood of falling ill.

Improved Cognitive Function: Physical activity has been shown to enhance cognitive function and reduce the risk of age-related cognitive decline.

Social Benefits: Participating in group exercises or sports activities fosters social interaction, creating a sense of community and support.

Reduced Risk of Chronic Diseases: Regular physical activity is associated with a lower risk of developing chronic conditions such as type 2 diabetes, certain cancers, and osteoporosis.

Increased Longevity: Studies suggest that individuals who engage in regular exercise tend to live longer, enjoying a higher quality of life in their later years.
Regular exercise is widely acknowledged as a key factor in maintaining good physical and mental health. Engaging in regular physical activity has numerous benefits that extend beyond just weight management
Here are some key advantages of incorporating exercise into your daily routine.

Improved Cardiovascular Health: Regular exercise helps strengthen the heart, promoting better circulation and reducing the risk of cardiovascular diseases.

Weight Management: Exercise plays a crucial role in weight control by burning calories and building lean muscle mass, contributing to maintaining a healthy body weight.

Enhanced Mental Well-being: Physical activity stimulates the production of endorphins, which are known as ""feel-good"" hormones
This can help alleviate stress, anxiety, and depression.

Increased Energy Levels: Engaging in regular physical activity boosts energy levels and reduces feelings of fatigue. This increased energy can enhance overall productivity and daily functioning.

Better Sleep Quality: Regular exercise is linked to improved sleep patterns",Regular exercise increases the risk of developing chronic diseases.,2
"Since the early years of the twentieth century, when the International Athletic Federation began keeping records, there has been a steady improvement in how fast athletes run, how high they jump and how far they are bale to hurl massive objects, themselves included, through space. For the so-called power events –that require a relatively brief, explosive release of energy, like the 100-metre sprint and the long jump-times and distances have improved ten to twenty percent
‘Core performance is not a simple or mundane thing of higher, faster, longer. So many variables enter into the equation, and our understanding in many cases is fundamental. We’re got a long way to go.’ For the foreseeable future, records will be made to be broken.
In the endurance events the results have been more dramatic. At the 1908 Olympics, John Hayes of the U.S. team ran to marathon in a time of 2:55:18. In 1999, Morocco’s Khalid Khannouchi set a new world record of 2:05:42, almost thirty percent faster.

No one theory can explain improvements in performance, but the most important factor has been genetics
But with the right training we can go much further with that one third than we’ve been going.’ Yesis believes that U.S. runners, despite their impressive achievements, are ‘running on their genetics’. By applying more scientific methods, ‘they’re going to go much faster’
These methods include strength training that duplicates what they are doing in their running events as well as plyometrics, a technique pioneered in the former Soviet Union.

Whereas most exercises are designed to build up strength or endurance, plyometrics focuses on increasing power-the rate at which an athlete can expend energy",Performance has improved most greatly in events requiring an intensive burst of energy.,2
"Modern airliners are packed with electronic devices that control the plane and handle navigation and communications. Each has to meet stringent safeguards to make sure it doesn’t emit radiation that would interfere with other devices in the plane-standards that passengers’ personal electronic devices don’t necessarily meet
Besides, the problem is more complicated than simply looking at power and frequency. In the air, the plane operates in a soup of electronic emissions, created by its own electronics and by ground-based radiation
They can generate very strong signals at frequencies that could interfere with plane electronics, especially if a mouse is attached {the wire operates as an antenna or if their built-in shielding is somehow damaged. Some airlines are even planning to put sockets for laptops in seatbacks.

There’s fairly convincing anecdotal evidence that some personal electronic devices have interfered with systems
Its researchers generated simulated cellphone transmissions inside two Boeing aircraft. They concluded that the transmissions could create signals at a power and frequency that would not affect the latest equipment, but exceeded the safety threshold established in 1984 and might, therefore, affect some of the older equipment on board. This doesn’t mean “mission critical” equipment such as the navigation system and flight controls
Emissions from inside the plane could also interfere with sensitive antennae on the fixed exterior.

But despite running a number of studies, Boeing, Airbus and various government agencies haven’t been able to find clear evidence of problems caused by personal electronic devices, including mobile phones. “We’ve done our own studies",Some people believe that radio emission will interrupt the equipment on the plane.,1
"Glass recycling is good news for the environment. It saves used glass containers being sent to landfill. As less energy is needed to melt recycled glass than to melt down raw materials, this also saves fuel and production costs. Recycling also reduces the need for raw materials to be quarried, thus saving precious resources.
Few of us can imagine modem life without glass. It features in almost every aspect of our lives - in our homes, our cars and whenever we sit down to eat or drink. Glass packaging is used for many products, many beverages are sold in glass, as are numerous foodstuffs, as well as medicines and cosmetics.

Glass is an ideal material for recycling, and with growing consumer concern for green issues, glass bottles and jars are becoming ever more popular
Previous to this, glass had been seen as a craft rather than a precise science.

Today, glass making is big business. It has become a modem, hi-tech industry operating in a fiercely competitive global market where quality, design and service levels are critical to maintaining market share. Modem glass plants are capable of making millions of glass containers a day in many different colours, with green, brown and clear remaining the most popular
Glass manufacturing techniques also improved with the advancement of science and the development of better technology.

From 1887 onwards, glass making developed from traditional mouth-blowing to a semi-automatic process, after factory- owner HM Ashley introduced a machine capable of producing 200 bottles per hour in Castleford, Yorkshire, England - more than three times quicker than any previous production method",It is more expensive to produce recycled glass than to manufacture new glass.,2
